Monitoring Data

	Date	Time	AS Instance	Act. WPs	Dia.WPs	RFC Normal	RFC Low	CPU Usr	CPU Sys	CPU Idle	  CPU.	  Ava.	Rea.	Ste.	Paging in	Paging out	Free Mem.	FreeMem	Free(+FS)	EM alloc.	EM attach.	Heap Memor	Pri.	Dia.	Ave.	Ave.	Upd.	Enq.	Logins	Sessions	  Time

	2024/12/25	00:04:50	tels4happ001_PS1_00	      6	     6	       25	    25	    18	     4	     78	 2.82	10.00	0.3	  0	       0	       49	      47	30,942	  30,942	  15,172	   12,592	        0	  0	240	  5	  7	  0	  0	  232	    232	10,109
	2024/12/25	00:04:50	tels4happ002_PS1_00	     16	     9	       32	    32	    37	     3	     60	 7.62	15.00	0.2	  0	       0	       58	      60	59,169	  59,169	  22,408	   17,440	    1,031	  1	  2	  7	  9	  0	  0	  337	    337	10,110
	2024/12/25	00:04:50	tels4happ003_PS1_00	     17	    10	       32	    32	    41	     2	     57	 8.19	15.00	0.1	  0	       0	       58	      58	57,668	  57,668	  20,776	   17,868	        0	  0	  2	  7	  7	  0	  0	  257	    258	10,111
	2024/12/25	00:04:50	tels4happ004_PS1_00	      9	     9	       32	    27	    15	     2	     83	 2.29	10.00	0.1	  0	       0	        0	      69	45,688	  45,688	  11,196	   11,152	        0	  0	  1	  6	  8	  0	  0	   14	     14	 9,110
	2024/12/25	00:04:50	tels4happ005_PS1_00	      1	     1	       48	    45	     1	     1	     98	 0.35	10.00	0.1	  0	       0	        0	      67	44,344	  44,344	  11,044	   11,028	        0	  0	  2	  0	  0	  0	  0	    5	      5	10,113
	2024/12/25	00:04:50	tels4happ006_PS1_00	     10	     9	       32	    32	     3	     1	     96	 0.57	10.00	0.2	  0	       0	        0	      71	46,924	  46,924	  11,124	   11,104	        0	  0	  2	 10	 10	  0	  0	   15	     15	10,108
	2024/12/25	00:04:50	tels4happ007_PS1_00	      5	     5	       32	    32	     4	     1	     95	 0.58	10.00	0.1	  0	       0	        0	      71	46,739	  46,739	  11,072	   11,060	        0	  0	  1	  7	  6	  0	  0	    8	      8	10,108
	2024/12/25	00:04:50	tels4happ008_PS1_00	      1	     1	        0	     0	     0	     0	    100	 0.17	10.00	0.1	  0	       0	        0	      81	53,523	  53,523	  11,040	   11,028	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:04:50	tels4happ009_PS1_00	      1	     1	        0	     0	     0	     0	    100	 0.16	10.00	0.1	  0	       0	        0	      81	53,689	  53,689	  11,040	   11,024	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:09:50	tels4happ001_PS1_00	      6	     6	       25	    25	    22	     3	     75	 3.06	10.00	0.5	  0	       0	       95	      47	30,907	  30,907	  15,904	   12,900	        0	  0	240	  4	  4	  0	  0	  284	    284	10,110
	2024/12/25	00:09:50	tels4happ002_PS1_00	     15	     6	       32	    32	    15	     2	     83	 3.34	15.00	0.1	  0	       0	       56	      59	58,154	  58,154	  22,744	   17,412	        0	  0	  3	  3	  3	  0	  0	  384	    384	10,112
	2024/12/25	00:09:50	tels4happ003_PS1_00	     18	     9	       32	    32	    27	     2	     71	 5.64	15.00	0.1	  0	       0	       63	      57	56,249	  56,249	  23,252	   17,636	        0	  0	  2	  3	  4	  0	  0	  301	    302	 9,109
	2024/12/25	00:09:50	tels4happ004_PS1_00	      2	     1	       37	    35	     4	     2	     94	 0.78	10.00	0.1	  0	       0	        0	      69	45,623	  45,623	  11,048	   11,040	        0	  0	  1	  0	  0	  0	  0	    6	      6	10,003
	2024/12/25	00:09:50	tels4happ005_PS1_00	      4	     4	       48	    41	     3	     1	     96	 0.60	10.00	0.4	  0	       2	        0	      66	43,874	  43,874	  11,168	   11,044	        0	  0	  1	  2	  2	  0	  0	   20	     20	10,003
	2024/12/25	00:09:50	tels4happ006_PS1_00	      3	     3	       32	    32	     2	     0	     98	 0.34	10.00	0.3	  0	       0	        0	      71	46,847	  46,847	  11,100	   11,072	        0	  0	  2	  4	  3	  0	  0	   12	     12	 9,108
	2024/12/25	00:09:50	tels4happ007_PS1_00	      5	     5	       32	    32	     2	     1	     97	 0.44	10.00	0.1	  0	       0	        0	      71	46,632	  46,632	  11,064	   11,048	        0	  0	  1	  4	  4	  0	  0	    9	      9	10,108
	2024/12/25	00:09:50	tels4happ008_PS1_00	      1	     1	        0	     0	     0	     0	    100	 0.18	10.00	0.1	  0	       0	        0	      81	53,515	  53,515	  11,040	   11,028	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,001
	2024/12/25	00:09:50	tels4happ009_PS1_00	      2	     2	        0	     0	     0	     0	    100	 0.16	10.00	0.1	  0	       0	        0	      81	53,678	  53,678	  11,040	   11,024	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,001
	2024/12/25	00:14:50	tels4happ001_PS1_00	      6	     6	       25	    25	    30	     6	     64	 4.54	10.00	0.3	  0	       0	      152	      44	29,247	  29,247	  17,448	   13,100	        0	  0	240	  4	  5	  0	  0	  293	    295	10,109
	2024/12/25	00:14:50	tels4happ002_PS1_00	      9	     3	       32	    32	    35	     3	     62	 7.14	15.00	0.2	  0	       0	        0	      54	53,799	  53,799	  24,316	   17,040	    2,308	  1	  3	  4	  4	  0	  0	  418	    418	10,110
	2024/12/25	00:14:50	tels4happ003_PS1_00	      8	     4	       32	    32	    37	     2	     61	 7.43	15.00	0.1	  0	       0	       21	      54	53,452	  53,452	  24,700	   18,468	    1,858	  1	  2	  2	  3	  0	  0	  368	    369	10,110
	2024/12/25	00:14:50	tels4happ004_PS1_00	      1	     1	       37	    35	     4	     2	     94	 0.83	10.00	0.1	  0	       0	        0	      68	45,009	  45,009	  11,040	   11,036	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:14:50	tels4happ005_PS1_00	      2	     2	       48	    45	     1	     1	     98	 0.35	10.00	0.2	  0	       0	        0	      67	43,911	  43,911	  11,052	   11,028	        0	  0	  2	  1	  0	  0	  0	    6	      6	10,004
	2024/12/25	00:14:50	tels4happ006_PS1_00	      3	     3	       32	    32	     2	     1	     97	 0.46	10.00	0.2	  0	       8	        0	      70	45,984	  45,984	  11,064	   11,044	        0	  0	  2	  2	  4	  0	  0	    8	      8	10,108
	2024/12/25	00:14:50	tels4happ007_PS1_00	      2	     2	       32	    32	     3	     1	     96	 0.56	10.00	0.1	  0	       0	        0	      70	46,421	  46,421	  11,048	   11,036	        0	  0	  1	  2	  2	  0	  0	    5	      5	10,108
	2024/12/25	00:14:50	tels4happ008_PS1_00	      1	     1	        0	     0	     0	     0	    100	 0.20	10.00	0.1	  0	       8	        0	      81	53,505	  53,505	  11,040	   11,028	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:14:50	tels4happ009_PS1_00	      1	     1	        0	     0	     0	     0	    100	 0.16	10.00	0.1	  0	       0	        0	      81	53,662	  53,662	  11,040	   11,024	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:19:50	tels4happ001_PS1_00	      7	     7	       25	    25	    29	     7	     64	 4.45	10.00	0.5	  0	       0	       54	      42	28,029	  28,029	  20,224	   15,168	    1,099	  2	240	  6	  7	  0	  0	  294	    297	10,110
	2024/12/25	00:19:50	tels4happ002_PS1_00	     18	     6	       32	    32	    26	     3	     71	 5.82	15.00	0.3	  0	       0	      276	      58	57,339	  57,339	  23,732	   17,560	        0	  0	  2	  6	  4	  0	  0	  490	    490	10,113
	2024/12/25	00:19:50	tels4happ003_PS1_00	     18	     7	       32	    32	    17	     3	     80	 4.26	15.00	0.1	  0	       0	       68	      57	56,462	  56,462	  24,332	   17,856	        0	  0	  2	  4	  3	  0	  0	  407	    408	10,116
	2024/12/25	00:19:50	tels4happ004_PS1_00	      1	     1	       37	    35	     5	     2	     93	 1.03	10.00	0.1	  0	       0	        0	      68	44,958	  44,958	  11,052	   11,048	        0	  0	  1	  0	  0	  0	  0	    7	      7	10,002
	2024/12/25	00:19:50	tels4happ005_PS1_00	      5	     3	       48	    43	     5	     5	     90	 1.16	10.00	0.3	  0	       0	        0	      67	44,065	  44,065	  11,064	   11,048	        0	  0	  2	  1	  1	  0	  0	    8	      8	10,110
	2024/12/25	00:19:50	tels4happ006_PS1_00	     10	     9	       32	    32	     5	     1	     94	 0.82	10.00	0.4	  0	       0	        0	      70	46,233	  46,233	  11,100	   11,080	        0	  0	  2	  7	  6	  0	  0	   13	     13	 9,108
	2024/12/25	00:19:50	tels4happ007_PS1_00	      5	     5	       32	    32	     4	     1	     95	 0.69	10.00	0.1	  0	       0	        0	      70	46,516	  46,516	  11,076	   11,064	        0	  0	  1	  6	  5	  0	  0	    9	      9	10,109
	2024/12/25	00:19:50	tels4happ008_PS1_00	      1	     1	        0	     0	     0	     0	    100	 0.17	10.00	0.1	  0	       0	        0	      81	53,476	  53,476	  11,040	   11,028	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,001
	2024/12/25	00:19:50	tels4happ009_PS1_00	      1	     1	        0	     0	     0	     0	    100	 0.17	10.00	0.1	  0	       0	        0	      81	53,649	  53,649	  11,040	   11,024	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,001
	2024/12/25	00:24:50	tels4happ001_PS1_00	     11	    11	       25	    25	    32	     4	     64	 4.51	10.00	0.2	  0	       4	      113	      41	27,485	  27,485	  23,280	   16,524	    1,970	  2	240	 11	 11	  0	  0	  342	    346	10,112
	2024/12/25	00:24:50	tels4happ002_PS1_00	     13	    10	       32	    32	    10	     1	     89	 2.29	15.00	0.1	  0	       0	       65	      56	55,832	  55,832	  22,860	   16,868	        0	  0	  2	 10	 10	  0	  0	  483	    483	10,111
	2024/12/25	00:24:50	tels4happ003_PS1_00	     14	    12	       32	    32	    11	     2	     87	 2.61	15.00	0.0	  0	       0	      151	      55	54,616	  54,616	  26,916	   18,460	      667	  1	  7	  8	  8	  0	  0	  449	    450	 9,114
	2024/12/25	00:24:50	tels4happ004_PS1_00	      3	     3	       37	    33	     5	     2	     93	 0.90	10.00	0.1	  0	       0	        0	      68	44,860	  44,860	  11,068	   11,040	        0	  0	  1	  0	  0	  0	  0	    6	      6	10,003
	2024/12/25	00:24:50	tels4happ005_PS1_00	      1	     1	       48	    45	     3	     1	     96	 0.54	10.00	0.2	  0	       0	        0	      67	44,021	  44,021	  11,044	   11,028	        0	  0	  2	  1	  1	  0	  0	    5	      5	10,112
	2024/12/25	00:24:50	tels4happ006_PS1_00	      5	     5	       32	    32	     2	     0	     98	 0.36	10.00	0.2	  0	       0	        0	      70	46,053	  46,053	  11,112	   11,084	        0	  0	  2	  4	  3	  0	  0	   12	     12	10,108
	2024/12/25	00:24:50	tels4happ007_PS1_00	      6	     6	       32	    32	     2	     1	     97	 0.42	10.00	0.1	  0	       0	        0	      70	46,191	  46,191	  11,068	   11,056	        0	  0	  1	  6	  5	  0	  0	    8	      8	10,111
	2024/12/25	00:24:50	tels4happ008_PS1_00	      1	     1	        0	     0	     1	     1	     98	 0.27	10.00	0.1	  0	       0	        0	      81	53,378	  53,378	  11,040	   11,028	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:24:50	tels4happ009_PS1_00	      1	     1	        0	     0	     0	     0	    100	 0.16	10.00	0.1	  0	       0	        0	      81	53,638	  53,638	  11,040	   11,024	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:29:50	tels4happ001_PS1_00	     13	    13	       25	    25	    35	    10	     55	 5.45	10.00	0.9	  0	       0	      145	      43	28,344	  28,344	  23,584	   15,084	    3,110	  2	240	 13	 13	  0	  0	  444	    450	10,124
	2024/12/25	00:29:50	tels4happ002_PS1_00	     18	    15	       32	    32	    14	     2	     84	 3.22	15.00	0.2	  0	       0	       69	      58	57,037	  57,037	  24,284	   17,432	        0	  0	  3	 14	 14	  0	  0	  537	    537	10,112
	2024/12/25	00:29:50	tels4happ003_PS1_00	     18	    12	       32	    32	    29	     2	     69	 6.23	15.00	0.1	  0	       0	        0	      51	50,969	  50,969	  28,424	   21,628	      193	  1	  2	 12	 13	  0	  0	  444	    444	10,116
	2024/12/25	00:29:50	tels4happ004_PS1_00	      9	     9	       32	    27	    30	     2	     68	 4.02	10.00	0.1	  0	       0	        0	      65	42,666	  42,666	  14,756	   14,692	        0	  0	  1	  8	  8	  0	  0	   18	     18	 9,111
	2024/12/25	00:29:50	tels4happ005_PS1_00	      5	     5	       48	    42	     4	     5	     91	 1.14	10.00	0.5	  0	       0	        0	      67	44,065	  44,065	  11,216	   11,076	        0	  0	  2	  3	  3	  0	  0	   25	     25	10,108
	2024/12/25	00:29:50	tels4happ006_PS1_00	      9	     9	       32	    32	     6	     2	     92	 1.03	10.00	0.5	  0	       0	        0	      69	45,799	  45,799	  11,120	   11,100	        0	  0	  2	  6	  8	  0	  0	   14	     14	10,122
	2024/12/25	00:29:50	tels4happ007_PS1_00	     11	    11	       32	    32	     3	     2	     95	 0.72	10.00	0.1	  0	       0	        0	      71	46,583	  46,583	  11,108	   11,096	        0	  0	  1	  8	  9	  0	  0	   15	     15	10,109
	2024/12/25	00:29:50	tels4happ008_PS1_00	      1	     1	        0	     0	     1	     1	     98	 0.23	10.00	0.2	  0	       0	        0	      81	53,333	  53,333	  11,040	   11,028	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:29:50	tels4happ009_PS1_00	      1	     1	        0	     0	     0	     0	    100	 0.16	10.00	0.1	  0	       0	        0	      81	53,621	  53,621	  11,040	   11,024	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:34:50	tels4happ001_PS1_00	     15	    15	       25	    25	    26	     5	     69	 3.97	10.00	0.4	  0	       0	      143	      48	32,059	  32,059	  22,232	   15,132	      463	  1	240	 13	 11	  0	  0	  478	    486	10,111
	2024/12/25	00:34:50	tels4happ002_PS1_00	     23	    15	       32	    32	    42	     2	     56	 7.94	15.00	0.4	  0	       0	      121	      57	56,647	  56,647	  25,608	   17,980	        0	  0	  3	 12	 14	  0	  0	  581	    581	10,117
	2024/12/25	00:34:50	tels4happ003_PS1_00	     27	    15	       32	    32	    36	     2	     62	 7.41	15.00	0.1	  0	       0	      149	      54	53,235	  53,235	  27,396	   20,624	      114	  1	  6	 13	 14	  0	  0	  502	    502	10,203
	2024/12/25	00:34:50	tels4happ004_PS1_00	      6	     5	       36	    31	    17	     2	     81	 2.30	10.00	0.2	  0	       0	       69	      67	44,217	  44,217	  11,792	   11,776	        0	  0	  1	  6	  5	  0	  0	   12	     12	10,125
	2024/12/25	00:34:50	tels4happ005_PS1_00	      1	     1	       48	    45	     2	     1	     97	 0.47	10.00	0.2	  0	       0	        0	      67	44,186	  44,186	  11,048	   11,032	        0	  0	  2	  1	  1	  0	  0	    6	      6	10,003
	2024/12/25	00:34:50	tels4happ006_PS1_00	     16	    16	       32	    32	     2	     1	     97	 0.42	10.00	0.2	  0	       0	        0	      70	46,064	  46,064	  11,136	   11,116	        0	  0	  2	 13	 13	  0	  0	   19	     19	10,111
	2024/12/25	00:34:50	tels4happ007_PS1_00	     18	    17	       32	    32	     3	     1	     96	 0.60	10.00	0.1	  0	       0	        0	      70	46,218	  46,218	  11,204	   11,184	        0	  0	  1	 14	 14	  0	  0	   23	     23	10,109
	2024/12/25	00:34:50	tels4happ008_PS1_00	      1	     1	        0	     0	     1	     1	     98	 0.35	10.00	0.1	  0	       0	        0	      81	53,249	  53,249	  11,040	   11,028	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,003
	2024/12/25	00:34:50	tels4happ009_PS1_00	      1	     1	        0	     0	     1	     1	     98	 0.26	10.00	0.1	  0	       0	        0	      81	53,525	  53,525	  11,040	   11,024	        0	  0	  1	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:39:50	tels4happ001_PS1_00	     13	    13	       25	    25	    22	     4	     74	 3.30	10.00	0.3	  0	       0	      316	      45	29,919	  29,919	  23,096	   14,600	      463	  1	240	  9	  9	  0	  0	  440	    445	10,111
	2024/12/25	00:39:50	tels4happ002_PS1_00	      8	     7	       32	    32	    17	     3	     80	 3.87	15.00	0.3	  0	       0	       50	      58	57,595	  57,595	  25,160	   16,828	        0	  0	  4	  8	  9	  0	  0	  613	    613	 9,112
	2024/12/25	00:39:50	tels4happ003_PS1_00	     16	    12	       32	    32	    27	     2	     71	 5.78	15.00	0.1	  0	       0	       53	      55	54,427	  54,427	  26,880	   20,700	      130	  2	  2	 11	 12	  0	  0	  504	    504	10,114
	2024/12/25	00:39:50	tels4happ004_PS1_00	      1	     1	       37	    35	    10	     2	     88	 1.49	10.00	0.1	  0	       0	        0	      68	44,616	  44,616	  11,048	   11,040	        0	  0	  1	  0	  1	  0	  0	    6	      6	10,004
	2024/12/25	00:39:50	tels4happ005_PS1_00	      3	     2	       48	    44	     3	     1	     96	 0.56	10.00	0.2	  0	       0	        0	      67	44,112	  44,112	  11,052	   11,028	        0	  0	  3	  2	  2	  0	  0	    6	      6	10,003
	2024/12/25	00:39:50	tels4happ006_PS1_00	     12	    12	       32	    32	     3	     1	     96	 0.58	10.00	0.2	  0	       0	        0	      70	46,000	  46,000	  11,140	   11,116	        0	  0	  3	  8	  8	  0	  0	   15	     15	10,110
	2024/12/25	00:39:50	tels4happ007_PS1_00	      3	     3	       32	    32	     3	     1	     96	 0.55	10.00	0.1	  0	       0	        0	      70	45,980	  45,980	  11,064	   11,052	        0	  0	  1	  6	  6	  0	  0	    8	      8	10,111
	2024/12/25	00:39:50	tels4happ008_PS1_00	      1	     1	        0	     0	     1	     0	     99	 0.23	10.00	0.1	  0	       0	        0	      81	53,347	  53,347	  11,040	   11,028	        0	  0	  2	  0	  0	  0	  0	    4	      4	10,001
	2024/12/25	00:39:50	tels4happ009_PS1_00	      1	     1	        0	     0	     0	     0	    100	 0.16	10.00	0.1	  0	       0	        0	      81	53,530	  53,530	  11,040	   11,024	        0	  0	  2	  0	  0	  0	  0	    4	      4	10,001
	2024/12/25	00:44:50	tels4happ001_PS1_00	      6	     5	       25	    25	    26	     5	     69	 3.87	10.00	0.4	  0	       0	      109	      46	30,738	  30,738	  21,492	   12,636	        0	  0	240	  7	  6	  0	  0	  478	    482	10,110
	2024/12/25	00:44:50	tels4happ002_PS1_00	      9	     6	       32	    32	    35	     3	     62	 7.19	15.00	0.3	  0	       0	       65	      55	54,650	  54,650	  26,776	   18,688	    2,275	  1	  3	  8	  7	  0	  0	  592	    592	10,113
	2024/12/25	00:44:50	tels4happ003_PS1_00	     13	     8	       32	    32	    30	     3	     67	 6.39	15.00	0.1	  0	       0	      140	      57	56,956	  56,956	  25,196	   18,676	       16	  1	  2	  7	  7	  0	  0	  544	    544	10,113
	2024/12/25	00:44:50	tels4happ004_PS1_00	      2	     2	       37	    34	    10	     2	     88	 1.46	10.00	0.1	  0	       0	        0	      68	44,680	  44,680	  11,188	   11,180	        0	  0	  1	  0	  0	  0	  0	    5	      5	10,113
	2024/12/25	00:44:50	tels4happ005_PS1_00	      6	     6	       47	    40	     3	     1	     96	 0.65	10.00	0.2	  0	       0	        0	      67	43,921	  43,921	  11,120	   11,092	        0	  0	  3	  1	  1	  0	  0	   12	     12	10,002
	2024/12/25	00:44:50	tels4happ006_PS1_00	      3	     3	       32	    32	     4	     1	     95	 0.65	10.00	0.2	  0	       0	        0	      70	46,031	  46,031	  11,060	   11,040	        0	  0	  3	  5	  6	  0	  0	    8	      8	 9,111
	2024/12/25	00:44:50	tels4happ007_PS1_00	      5	     5	       32	    32	     4	     2	     94	 0.85	10.00	0.1	  0	       0	        0	      70	45,955	  45,955	  11,076	   11,064	        0	  0	  1	  6	  6	  0	  0	    9	      9	 9,108
	2024/12/25	00:44:50	tels4happ008_PS1_00	      1	     1	        0	     0	     1	     1	     98	 0.22	10.00	0.1	  0	       0	        0	      81	53,345	  53,345	  11,040	   11,028	        0	  0	  2	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:44:50	tels4happ009_PS1_00	      1	     1	        0	     0	     1	     2	     97	 0.40	10.00	0.1	  0	       0	        0	      81	53,577	  53,577	  11,040	   11,024	        0	  0	  2	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:49:50	tels4happ001_PS1_00	     11	    11	       25	    25	    28	     6	     66	 4.26	10.00	0.3	  0	       0	       88	      46	30,619	  30,619	  22,440	   13,948	        0	  0	240	  8	  8	  0	  0	  464	    468	10,113
	2024/12/25	00:49:50	tels4happ002_PS1_00	     11	     6	       32	    32	    17	     2	     81	 3.59	15.00	0.2	  0	       0	        0	      58	57,291	  57,291	  25,464	   17,068	      751	  1	  3	  7	  7	  0	  0	  626	    626	10,115
	2024/12/25	00:49:50	tels4happ003_PS1_00	     25	    13	       32	    32	    23	     3	     74	 5.27	15.00	0.1	  0	       0	      128	      56	55,179	  55,179	  27,048	   19,808	       16	  1	  2	  7	  7	  0	  0	  566	    566	10,113
	2024/12/25	00:49:50	tels4happ004_PS1_00	      2	     1	       37	    35	     8	     2	     90	 1.23	10.00	0.1	  0	       0	        0	      69	45,623	  45,623	  11,052	   11,040	        0	  0	  1	  0	  1	  0	  0	    6	      6	10,003
	2024/12/25	00:49:50	tels4happ005_PS1_00	     10	    10	       43	    36	     2	     1	     97	 0.52	10.00	0.2	  0	       0	        0	      67	44,448	  44,448	  11,084	   11,036	        0	  0	  3	  2	  1	  0	  0	   10	     10	10,108
	2024/12/25	00:49:50	tels4happ006_PS1_00	      9	     9	       32	    32	     3	     1	     96	 0.50	10.00	0.2	  0	       0	        0	      70	45,994	  45,994	  11,104	   11,084	        0	  0	  3	  9	 10	  0	  0	   15	     15	10,109
	2024/12/25	00:49:50	tels4happ007_PS1_00	     13	    11	       32	    32	     4	     2	     94	 0.86	10.00	0.1	  0	       0	        0	      69	45,798	  45,798	  11,124	   11,108	        0	  0	  1	 10	 11	  0	  0	   15	     15	10,109
	2024/12/25	00:49:50	tels4happ008_PS1_00	      1	     1	        0	     0	     1	     1	     98	 0.22	10.00	0.1	  0	       0	        0	      81	53,426	  53,426	  11,040	   11,028	        0	  0	  2	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:49:50	tels4happ009_PS1_00	      1	     1	        0	     0	     0	     0	    100	 0.16	10.00	0.1	  0	       0	        0	      81	53,579	  53,579	  11,040	   11,024	        0	  0	  2	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:54:50	tels4happ001_PS1_00	      7	     7	       25	    25	    27	     5	     68	 4.06	10.00	0.4	  0	       0	       57	      48	31,756	  31,756	  21,848	   13,204	        0	  0	240	  8	  7	  0	  0	  459	    463	 9,119
	2024/12/25	00:54:50	tels4happ002_PS1_00	     17	     9	       32	    32	    21	     2	     77	 4.62	15.00	0.2	  0	       0	      225	      58	57,419	  57,419	  27,520	   19,060	        0	  0	  3	  8	  6	  0	  0	  648	    648	10,113
	2024/12/25	00:54:50	tels4happ003_PS1_00	     16	     7	       32	    32	    27	     3	     70	 6.05	15.00	0.1	  0	       0	       75	      54	53,655	  53,655	  27,228	   20,636	       16	  1	  2	  7	  6	  0	  0	  581	    581	 9,118
	2024/12/25	00:54:50	tels4happ004_PS1_00	      2	     2	       37	    34	     6	     2	     92	 0.97	10.00	0.1	  0	       0	        0	      70	46,193	  46,193	  11,204	   11,184	        0	  0	  1	  1	  1	  0	  0	    8	      8	10,003
	2024/12/25	00:54:50	tels4happ005_PS1_00	      4	     3	       48	    44	     3	     1	     96	 0.71	10.00	0.3	  0	       0	        0	      67	44,452	  44,452	  11,052	   11,028	        0	  0	  3	  1	  1	  0	  0	    6	      6	10,109
	2024/12/25	00:54:50	tels4happ006_PS1_00	      6	     6	       32	    32	     4	     1	     95	 0.77	10.00	0.3	  0	       0	        0	      69	45,768	  45,768	  11,088	   11,068	        0	  0	  3	  7	  7	  0	  0	   11	     11	10,171
	2024/12/25	00:54:50	tels4happ007_PS1_00	      7	     7	       32	    32	     3	     1	     96	 0.61	10.00	0.1	  0	       0	        0	      68	45,179	  45,179	  11,100	   11,088	        0	  0	  2	  7	  6	  0	  0	   13	     13	 9,113
	2024/12/25	00:54:50	tels4happ008_PS1_00	      1	     1	        0	     0	     1	     1	     98	 0.25	10.00	0.1	  0	       0	        0	      81	53,431	  53,431	  11,040	   11,028	        0	  0	  2	  0	  0	  0	  0	    4	      4	10,004
	2024/12/25	00:54:50	tels4happ009_PS1_00	      1	     1	        0	     0	     0	     0	    100	 0.14	10.00	0.1	  0	       0	        0	      81	53,570	  53,570	  11,040	   11,024	        0	  0	  2	  0	  0	  0	  0	    4	      4	10,002
	2024/12/25	00:59:50	tels4happ001_PS1_00	      5	     5	       25	    25	    25	     5	     70	 3.77	10.00	0.4	  0	       0	       81	      49	32,625	  32,625	  21,500	   12,664	        0	  0	240	  4	  4	  0	  0	  525	    530	10,004
	2024/12/25	00:59:50	tels4happ002_PS1_00	     21	     9	       32	    32	    21	     3	     76	 4.52	15.00	0.3	  0	       0	       52	      58	57,098	  57,098	  26,624	   17,564	        0	  0	  3	  5	  6	  0	  0	  611	    611	10,112
	2024/12/25	00:59:50	tels4happ003_PS1_00	     13	     6	       32	    32	    19	     3	     78	 4.32	15.00	0.1	  0	       0	       46	      55	54,861	  54,861	  28,596	   20,892	      108	  2	  2	  6	  7	  0	  0	  601	    601	10,111
	2024/12/25	00:59:50	tels4happ004_PS1_00	      4	     3	       37	    33	     4	     1	     95	 0.69	10.00	0.1	  0	       0	        0	      69	45,676	  45,676	  11,532	   11,524	        0	  0	  1	  1	  1	  0	  0	    8	      8	10,108
	2024/12/25	00:59:50	tels4happ005_PS1_00	      4	     3	       48	    44	     4	     1	     95	 0.82	10.00	0.3	  0	       0	        0	      67	44,118	  44,118	  11,052	   11,036	        0	  0	  3	  1	  2	  0	  0	    6	      6	10,003
	2024/12/25	00:59:50	tels4happ006_PS1_00	      6	     6	       32	    32	     2	     1	     97	 0.46	10.00	0.2	  0	       0	        0	      69	45,749	  45,749	  11,076	   11,056	        0	  0	  3	  6	  5	  0	  0	   10	     10	10,114
	2024/12/25	00:59:50	tels4happ007_PS1_00	      8	     6	       32	    32	     3	     1	     96	 0.55	10.00	0.1	  0	       0	        0	      68	45,126	  45,126	  11,400	   11,388	        0	  0	  2	  4	  4	  0	  0	   14	     14	10,107
	2024/12/25	00:59:50	tels4happ008_PS1_00	      1	     1	        0	     0	     1	     1	     98	 0.22	10.00	0.1	  0	       0	        0	      81	53,413	  53,413	  11,040	   11,028	        0	  0	  2	  0	  0	  0	  0	    4	      4	10,003
	2024/12/25	00:59:50	tels4happ009_PS1_00	      1	     1	        0	     0	     0	     1	     99	 0.18	10.00	0.1	  0	       0	        0	      81	53,556	  53,556	  11,040	   11,024	        0	  0	  2	  0	  0	  0	  0	    4	      4	10,006
	2024/12/25	01:04:50	tels4happ001_PS1_00	      8	     8	       25	    25	    13	    22	     65	 4.57	10.00	0.4	  0	       0	       62	      44	29,431	  29,431	  23,420	   12,628	        0	  0	241	  6	  6	  0	  0	  518	    525	10,112
	2024/12/25	01:04:50	tels4happ002_PS1_00	     24	    13	       32	    32	    45	     6	     49	 9.52	15.00	0.2	  0	       0	      107	      58	57,227	  57,227	  28,708	   17,976	        0	  0	  3	 10	 10	  0	  0	  664	    664	10,125
	2024/12/25	01:04:50	tels4happ003_PS1_00	     21	    12	       32	    32	    60	     3	     37	12.23	15.00	0.1	  0	       0	      179	      55	54,596	  54,596	  27,112	   19,828	       16	  1	  4	 11	 11	  0	  0	  639	    639	10,114
	2024/12/25	01:04:50	tels4happ004_PS1_00	      2	     1	       37	    35	     8	     1	     91	 1.18	10.00	0.1	  0	       0	        0	      69	45,692	  45,692	  11,048	   11,036	        0	  0	  1	  0	  0	  0	  0	    6	      6	10,002
